timestamp,src_ip,request,violation,response_code,bytes_sent,bytes_received,request_rate,bot_signature,severity,user_agent,ip_reputation,label
2024-02-8T12:57:24Z,192.168.1.226,/api/resource?id=243,None,200,4844,1490,604,Unknown,Low,curl/7.68.0,Good,0
2024-02-1T12:29:50Z,192.168.1.10,/api/attack?id=156,XSS,403,1663,667,861,Known Malicious,High,Nmap Scripting Engine,Suspicious,1
2024-02-27T12:48:55Z,192.168.1.176,/api/resource?id=825,None,200,653,1346,1378,Unknown,Low,Nmap Scripting Engine,Good,0
2024-02-19T12:41:56Z,192.168.1.141,/api/resource?id=907,None,200,4030,1606,1100,Unknown,Low,Mozilla/5.0,Good,0
2024-02-7T12:39:12Z,192.168.1.167,/api/resource?id=378,None,200,3316,641,1284,Unknown,Low,PostmanRuntime,Good,0
2024-02-24T12:13:58Z,192.168.1.153,/api/attack?id=803,DDoS,503,9889,570,8280,Known Malicious,Medium,Mozilla/5.0,Malicious,1
2024-02-23T12:42:37Z,192.168.1.121,/api/resource?id=890,None,200,762,2511,1164,Unknown,Low,curl/7.68.0,Good,0
2024-02-18T12:36:50Z,192.168.1.152,/api/resource?id=941,None,200,3977,1696,1753,Unknown,Low,SQLMap,Good,0
2024-02-2T12:36:35Z,192.168.1.53,/api/attack?id=536,DDoS,503,9777,479,7691,Unknown,High,PostmanRuntime,Malicious,1
2024-02-28T12:39:34Z,192.168.1.200,/api/attack?id=773,SQL Injection,403,3032,837,1551,Known Malicious,High,Nmap Scripting Engine,Suspicious,1
2024-02-20T12:18:11Z,192.168.1.58,/api/attack?id=959,SQL Injection,403,3006,897,1192,Unknown,Medium,SQLMap,Suspicious,1
2024-02-12T12:25:15Z,192.168.1.212,/api/resource?id=693,None,200,1905,1554,1269,Unknown,Low,SQLMap,Good,0
2024-02-22T12:54:21Z,192.168.1.173,/api/attack?id=669,XSS,403,2004,683,938,Unknown,High,SQLMap,Suspicious,1
2024-02-8T12:28:42Z,192.168.1.202,/api/attack?id=168,Brute Force,401,5353,389,3031,Known Malicious,High,Nmap Scripting Engine,Malicious,1
2024-02-4T12:36:27Z,192.168.1.166,/api/attack?id=639,XSS,403,1963,862,1554,Known Malicious,Medium,Mozilla/5.0,Malicious,1
2024-02-2T12:17:40Z,192.168.1.110,/api/attack?id=598,XSS,403,2283,674,1407,Known Malicious,Medium,PostmanRuntime,Malicious,1
2024-02-21T12:50:11Z,192.168.1.59,/api/resource?id=874,None,200,4262,1364,1537,Unknown,Low,Mozilla/5.0,Good,0
2024-02-10T12:31:46Z,192.168.1.2,/api/resource?id=319,None,200,2754,1173,804,Unknown,Low,Nmap Scripting Engine,Good,0
2024-02-18T12:52:36Z,192.168.1.237,/api/attack?id=944,Brute Force,401,5019,526,3427,Unknown,High,SQLMap,Suspicious,1
2024-02-1T12:27:15Z,192.168.1.220,/api/attack?id=663,Credential Stuffing,401,6387,837,2567,Known Malicious,Medium,Mozilla/5.0,Malicious,1
2024-02-8T12:48:29Z,192.168.1.255,/api/resource?id=344,None,200,1384,1459,1163,Unknown,Low,SQLMap,Good,0
2024-02-25T12:59:45Z,192.168.1.176,/api/resource?id=631,None,200,4389,2568,1408,Unknown,Low,Nmap Scripting Engine,Good,0
2024-02-19T12:19:13Z,192.168.1.48,/api/resource?id=762,None,200,4080,2914,652,Unknown,Low,curl/7.68.0,Good,0
2024-02-5T12:22:10Z,192.168.1.2,/api/resource?id=392,None,200,3702,1069,1492,Unknown,Low,Nmap Scripting Engine,Good,0
2024-02-9T12:15:49Z,192.168.1.113,/api/attack?id=385,DDoS,503,9892,487,8367,Known Malicious,High,SQLMap,Suspicious,1
2024-02-11T12:31:57Z,192.168.1.13,/api/resource?id=996,None,200,1108,500,1869,Unknown,Low,curl/7.68.0,Good,0
2024-02-25T12:12:43Z,192.168.1.157,/api/resource?id=835,None,200,4637,2054,265,Unknown,Low,Nmap Scripting Engine,Good,0
2024-02-5T12:58:19Z,192.168.1.47,/api/resource?id=887,None,200,1426,1378,189,Unknown,Low,curl/7.68.0,Good,0
2024-02-25T12:47:50Z,192.168.1.10,/api/attack?id=591,Brute Force,401,5329,577,3019,Known Malicious,High,Nmap Scripting Engine,Suspicious,1
2024-02-1T12:23:21Z,192.168.1.114,/api/resource?id=470,None,200,4805,1904,1878,Unknown,Low,Mozilla/5.0,Good,0
2024-02-12T12:36:10Z,192.168.1.158,/api/resource?id=872,None,200,3946,875,1432,Unknown,Low,SQLMap,Good,0
2024-02-9T12:50:33Z,192.168.1.184,/api/resource?id=196,None,200,2192,1137,1764,Unknown,Low,Mozilla/5.0,Good,0
2024-02-16T12:49:26Z,192.168.1.148,/api/attack?id=100,Credential Stuffing,401,5719,961,2260,Known Malicious,Medium,Nmap Scripting Engine,Malicious,1
2024-02-14T12:38:48Z,192.168.1.243,/api/resource?id=130,None,200,4888,1638,1564,Unknown,Low,PostmanRuntime,Good,0
2024-02-23T12:26:36Z,192.168.1.74,/api/resource?id=198,None,200,4840,620,1543,Unknown,Low,PostmanRuntime,Good,0
2024-02-23T12:13:36Z,192.168.1.113,/api/resource?id=508,None,200,4835,2672,1385,Unknown,Low,SQLMap,Good,0
2024-02-3T12:34:42Z,192.168.1.121,/api/resource?id=673,None,200,1883,664,212,Unknown,Low,Nmap Scripting Engine,Good,0
